"Data","Último","Abertura","Máxima","Mínima","Var%"
"Ago 19","1,603","2,027","2,058","1,495","-20,13%"
"Jul 19","2,007","2,045","2,150","1,939","0,00%"
"Jun 19","2,007","2,126","2,178","1,974","-5,91%"
"Mai 19","2,133","2,509","2,578","2,126","-14,82%"
"Abr 19","2,504","2,430","2,614","2,424","4,03%"
"Mar 19","2,407","2,719","2,768","2,340","-11,41%"
"Fev 19","2,717","2,645","2,740","2,624","3,19%"
"Jan 19","2,633","2,686","2,799","2,543","-1,97%"
"Dez 18","2,686","3,037","3,050","2,679","-10,26%"
"Nov 18","2,993","3,155","3,250","2,988","-4,95%"
"Out 18","3,149","3,067","3,261","3,046","2,74%"
"Set 18","3,065","2,860","3,113","2,855","7,17%"
"Ago 18","2,860","2,958","3,016","2,808","-3,44%"
"Jul 18","2,962","2,858","2,990","2,807","3,57%"
"Jun 18","2,860","2,862","3,010","2,822","0,00%"
"Mai 18","2,860","2,959","3,128","2,759","-3,21%"
"Abr 18","2,955","2,759","3,035","2,717","7,81%"
"Mar 18","2,741","2,866","2,936","2,739","-4,29%"
"Fev 18","2,864","2,724","2,957","2,648","5,60%"
"Jan 18","2,712","2,429","2,754","2,416","12,77%"
"Dez 17","2,405","2,411","2,504","2,314","-0,41%"
"Nov 17","2,415","2,379","2,437","2,304","1,60%"
"Out 17","2,377","2,344","2,477","2,273","1,62%"
"Set 17","2,339","2,127","2,359","2,016","10,33%"
